"BehaviorSpace results (NetLogo 6.0.1)"
"pollution.nlogo"
"experiment"
"08/16/2018 16:05:58:533 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","punishedTurtlesWeight","surroundingWasteWeight","punishedCounterWeight","cleaningAmount","agentNumber","wasteAmount","[step]","mean [pollution] of patches"
"62","0","0","0.5","0.02","300","15","1000","0"
"63","0","0","0.5","0.02","300","15","1000","0"
"64","0","0","0.5","0.02","300","15","1000","0"
"65","0","0","0.5","0.02","300","15","1000","0"
"66","0","0","0.5","0.02","300","15","1000","0"
"67","0","0","0.5","0.02","300","15","1000","0"
"68","0","0","0.5","0.02","300","15","1000","0"
"69","0","0","0.5","0.02","300","15","1000","0"
"70","0","0","0.5","0.02","300","15","1000","0"
"71","0","0","0.5","0.02","300","15","1000","0"
"73","0","0","0.5","0.02","300","15","1000","0"
"72","0","0","0.5","0.02","300","15","1000","0"
"74","0","0","0.5","0.02","300","15","1000","0"
"75","0","0","0.5","0.02","300","15","1000","0"
"76","0","0","0.5","0.02","300","15","1000","0"
"77","0","0","0.5","0.02","300","15","1000","0"
"79","0","0","0.5","0.02","300","15","1000","0"
"78","0","0","0.5","0.02","300","15","1000","0"
"80","0","0","0.5","0.02","300","15","1000","0"
"81","0","0","0.5","0.02","300","15","1000","0"
"84","0","0","0.5","0.02","300","15","1000","0"
"82","0","0","0.5","0.02","300","15","1000","0"
"83","0","0","0.5","0.02","300","15","1000","0"
"85","0","0","0.5","0.02","300","15","1000","0"
"86","0","0","0.5","0.02","300","15","1000","0"
"87","0","0","0.5","0.02","300","15","1000","0"
"88","0","0","0.5","0.02","300","15","1000","0"
"89","0","0","0.5","0.02","300","15","1000","0"
"90","0","0","0.5","0.02","300","15","1000","0"
"91","0","0","0.75","0.02","300","15","1000","0"
"92","0","0","0.75","0.02","300","15","1000","0"
"93","0","0","0.75","0.02","300","15","1000","0"
"94","0","0","0.75","0.02","300","15","1000","0"
"95","0","0","0.75","0.02","300","15","1000","0"
"96","0","0","0.75","0.02","300","15","1000","0"
"97","0","0","0.75","0.02","300","15","1000","0"
"98","0","0","0.75","0.02","300","15","1000","0"
"99","0","0","0.75","0.02","300","15","1000","0"
"100","0","0","0.75","0.02","300","15","1000","0"
"101","0","0","0.75","0.02","300","15","1000","0"
"102","0","0","0.75","0.02","300","15","1000","0"
"103","0","0","0.75","0.02","300","15","1000","0"
"104","0","0","0.75","0.02","300","15","1000","0"
"105","0","0","0.75","0.02","300","15","1000","0"
"106","0","0","0.75","0.02","300","15","1000","0"
"107","0","0","0.75","0.02","300","15","1000","0"
"108","0","0","0.75","0.02","300","15","1000","0"
"109","0","0","0.75","0.02","300","15","1000","0"
"110","0","0","0.75","0.02","300","15","1000","0"
"111","0","0","0.75","0.02","300","15","1000","0"
"112","0","0","0.75","0.02","300","15","1000","0"
"113","0","0","0.75","0.02","300","15","1000","0"
"114","0","0","0.75","0.02","300","15","1000","0"
"115","0","0","0.75","0.02","300","15","1000","0"
"116","0","0","0.75","0.02","300","15","1000","0"
"117","0","0","0.75","0.02","300","15","1000","0"
"118","0","0","0.75","0.02","300","15","1000","0"
"119","0","0","0.75","0.02","300","15","1000","0"
"121","0","0","1","0.02","300","15","1000","0"
"120","0","0","0.75","0.02","300","15","1000","0"
"122","0","0","1","0.02","300","15","1000","0"
"123","0","0","1","0.02","300","15","1000","0"
